source_id,source_name_en,source_name_ja,vendor,platform_version,application_version,application_build,observed_at,acquisition_method,official_url,distribution_url,distribution_sha256,sound_name,event_type,relative_path,sha256,duration_seconds,sample_rate_hz,channel_count,integrated_lufs,maximum_momentary_lufs,maximum_short_term_lufs,loudness_range_lu,true_peak_dbtp,sample_peak_dbfs,rms_dbfs,active_rms_dbfs,sample_crest_factor_db,true_peak_crest_factor_db,spectral_centroid_hz,peak_frequency_hz,speech_band_200_8000_hz_energy_percent,analysis_profile,ffmpeg_version,analyzed_at
apple-audio-midi-setup,Audio MIDI Setup,Audio MIDI設定,Apple,26.6.1,3.8,3.8,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/audio-midi-setup/welcome/mac,,,MIDIReceivedSound,ui_feedback,Contents/Resources/MIDIReceivedSound.aiff,f0d9c340dde6843a096db596ea8298186957e9acccdb275b30de1f733acc4296,0.181927,44100,1,-24.1,-24.1,,,-9.0,-9.012,-20.096,-19.801,11.083,11.096,538.268,527.563,99.999,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-books,Books,ブック,Apple,26.6.1,8.5,6570,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/books/welcome/mac,,,skipFX,ui_feedback,Contents/Frameworks/BKAudiobooks.framework/Versions/A/Resources/skipFX.aiff,5d7a7e8a867e96952300ab764d86854689a17d1f09740a593e6cd91fecc47356,0.083333,48000,2,-15.0,-15.0,,,-1.0,-1.002,-10.466,-10.466,9.464,9.466,438.848,444.0,99.987,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-grapher,Grapher,Grapher,Apple,26.6.1,2.8,1,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/grapher/welcome/mac,,,snapshot,ui_feedback,Contents/Resources/snapshot.aiff,c052dfd7c5939a1b9b92654c564da1e4e033289b8245562affcb46c184265cb9,0.459546,22050,1,-20.4,-18.7,,,-0.1,-1.557,-21.679,-21.673,20.122,21.579,4035.409,1501.941,96.918,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-mail,Mail,メール,Apple,26.6.1,16.0,3864.700.51.1.1,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mail/welcome/mac,,,Mail Fetch Error,error,Contents/Resources/Mail Fetch Error.aiff,2e11b4c0b2112fec4e1a817922783cca4470b69273011f83a50bc44ababe71e3,0.722834,44100,2,-29.6,-26.5,,,-18.2,-18.171,-30.708,-30.112,12.538,12.508,160.119,193.799,4.681,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-mail,Mail,メール,Apple,26.6.1,16.0,3864.700.51.1.1,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mail/welcome/mac,,,Mail Scheduled,message,Contents/Resources/Mail Scheduled.wav,31743a7e3a609e9e0a8615f8a5c578a555cfae0b46c93d5c4d1dd057e2394a06,1.325,48000,2,-27.5,-27.4,,,-9.0,-8.975,-34.93,-30.784,25.955,25.93,484.548,527.344,94.909,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-mail,Mail,メール,Apple,26.6.1,16.0,3864.700.51.1.1,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mail/welcome/mac,,,Mail Sent,completion,Contents/Resources/Mail Sent.aiff,fb03bad343d643daf8c11397a22422f47a3fb71b97b2a9e8d0282595e8c3da6e,1.51449,44100,2,-31.8,-29.1,,,-17.8,-17.788,-37.696,-35.85,19.907,19.896,1036.09,559.863,98.089,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-mail,Mail,メール,Apple,26.6.1,16.0,3864.700.51.1.1,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mail/welcome/mac,,,New Mail,message,Contents/Resources/New Mail.aiff,dd52bbe1e36553fbe282c5b8036492c2ec4f7e5355541fe8eb6ab2a3059a6b7a,1.357833,48000,2,-22.9,-20.6,,,-13.9,-13.921,-28.486,-26.134,14.565,14.586,759.502,738.281,100.0,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-music,Music,ミュージック,Apple,26.6.1,1.6.6,1.6.6,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/music/welcome/mac,,,axloadcomplete,completion,Contents/Resources/axloadcomplete.aif,bed20955e39d115c36f6f0b975fbf0d18ddb9094d2db7e0bcce2d7434de3e7e3,0.175805,44100,2,-27.4,-27.1,,,-10.7,-10.766,-26.692,-26.546,15.927,15.992,983.39,829.028,99.998,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-music,Music,ミュージック,Apple,26.6.1,1.6.6,1.6.6,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/music/welcome/mac,,,complete,completion,Contents/Resources/complete.aif,97b6876106e0a3bf4b56013272645f4c9cb5142ebe148dfebbef557330f4f297,0.780771,22050,1,-22.5,-19.0,,,-9.9,-9.95,-21.187,-21.003,11.238,11.287,433.625,296.082,99.935,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
apple-photo-booth,Photo Booth,Photo Booth,Apple,26.6.1,13.1,1177,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/photo-booth/welcome/mac,,,action,ui_feedback,Contents/Resources/action.aif,1ced2ef47ae6dc93f65d39f23941f1ec5d0543dad48fa7368bd884776e8bff3c,0.056735,44100,2,-26.6,-26.6,,,-8.1,-8.124,-23.28,-22.732,15.156,15.18,2467.783,916.547,95.003,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
